,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id,geometry
198,Xiamen,Xiamen,24.4797,118.0819,China,CN,CHN,Fujian,minor,4110000.0,1156212809,POINT (118.0819 24.4797)
142,Zhangzhou,Zhangzhou,24.5093,117.6612,China,CN,CHN,Fujian,minor,5140000.0,1156241637,POINT (117.6612 24.5093)
370,Qingyang,Qingyang,24.8141,118.5792,China,CN,CHN,Fujian,minor,2111000.0,1156273372,POINT (118.5792 24.8141)
90,Quanzhou,Quanzhou,24.9139,118.5858,China,CN,CHN,Fujian,minor,6480000.0,1156829655,POINT (118.5858 24.9139)
489,Ximeicun,Ximeicun,24.9633,118.3811,China,CN,CHN,Fujian,,1508000.0,1156173813,POINT (118.3811 24.9633)
300,Longyan,Longyan,25.0881,117.0244,China,CN,CHN,Fujian,minor,2640000.0,1156012979,POINT (117.0244 25.0881)
276,Putian,Putian,25.4394,119.0103,China,CN,CHN,Fujian,minor,2900000.0,1156811601,POINT (119.0103 25.4394)
552,Fuqing,Fuqing,25.7232,119.3735,China,CN,CHN,Fujian,minor,1316000.0,1156893569,POINT (119.3735 25.7232)
138,Fuzhou,Fuzhou,26.0769,119.2917,China,CN,CHN,Fujian,admin,5245000.0,1156188037,POINT (119.2917 26.0769)
309,Sanming,Sanming,26.2658,117.6302,China,CN,CHN,Fujian,minor,2580000.0,1156294429,POINT (117.6302 26.2658)
298,Nanping,Nanping,26.6448,118.1728,China,CN,CHN,Fujian,minor,2690000.0,1156927445,POINT (118.1728 26.6448)
272,Ningde,Ningde,26.6667,119.5167,China,CN,CHN,Fujian,minor,2910000.0,1156909802,POINT (119.5167 26.6667)
518,Rui’an,Rui'an,27.778,120.6526,China,CN,CHN,Zhejiang,,1424667.0,1156993705,POINT (120.6526 27.778)
188,Wenzhou,Wenzhou,27.9991,120.6561,China,CN,CHN,Zhejiang,,4310000.0,1156188829,POINT (120.6561 27.9991)
531,Yueqing,Yueqing,28.1188,120.9621,China,CN,CHN,Zhejiang,,1389332.0,1156900058,POINT (120.9621 28.1188)
562,Yingtan,Yingtan,28.2333,117.0,China,CN,CHN,Jiangxi,,1288615.0,1156301061,POINT (117 28.2333)
537,Wenling,Wenling,28.3797,121.3718,China,CN,CHN,Zhejiang,,1366794.0,1156052493,POINT (121.3718 28.3797)
87,Shangrao,Shangrao,28.4419,117.9633,China,CN,CHN,Jiangxi,minor,6579714.0,1156405492,POINT (117.9633 28.4419)
369,Lishui,Lishui,28.45,119.9167,China,CN,CHN,Zhejiang,minor,2116957.0,1156858793,POINT (119.9167 28.45)
103,Taizhou,Taizhou,28.6583,121.4221,China,CN,CHN,Zhejiang,minor,5968838.0,1156322307,POINT (121.4221 28.6583)
